number of equals = 1350				
number of contains = 605				
Kind of Match	Subject	Relation	Object	Context
Equal	Motohisa Furukawa	Occupation	Politician	Motohisa Furukawa (古川 元久 Furukawa Motohisa, born December 6, 1965) is a Japanese politician of the Democratic Party of Japan (DPJ), a member of the House of Representatives in the Diet (national legislature). A native of Nagoya, Aichi and graduate of the University of Tokyo, he joined the Ministry of Finance in 1988, attending Columbia University in the United States as a ministry official. Leaving the ministry in 1994, he took part in the formation of the Democratic Party of Japan in 1996 and was elected to the House of Representatives for the first time in the same year; he is currently serving his fourth term in this House. In September 2011 he was appointed as State Minister of National Strategy, Economic and Fiscal Policy in the cabinet of newly appointed prime minister Yoshihiko Noda.
Equal	Régis Laspalès	Occupation	Comedian	Régis Laspalès (born 25 February 1957 in Paris) is a French comedian and actor best known for his collaboration with Philippe Chevallier.
Contains	Steven Lo	Occupation	Kong	Lo is the Vice-Chairman of the Hong Kong Football Association and served as an advisor and team manager for the Hong Kong Football association at the 2009 East Asian Games where the Hong Kong Football Team became the first Hong Kong Football to win gold in any major international sporting event.
Contains	Steven Lo	Occupation	Kong	Lo is the Vice-Chairman of the Hong Kong Football Association and served as an advisor and team manager for the Hong Kong Football association at the 2009 East Asian Games where the Hong Kong Football Team became the first Hong Kong Football to win gold in any major international sporting event.
Equal	Susanna Tamaro	Occupation	Novelist	Susanna Tamaro (Italian pronunciation: [suˈzanna taˈmaːro]; Trieste, 12 December 1957) is an Italian novelist. She has also worked as a scientific documentarist and movie maker direction assistant.
Equal	Fletcher Jones (American entrepreneur)	Occupation	Businessman	Fletcher Roseberry Jones (January 22, 1931 – November 7, 1972) was an American businessman, computer pioneer and thoroughbred racehorse owner.
Contains	Neil Nitin Mukesh	Occupation	Actor	Neil made his debut as an adult in Sriram Raghavan's 2007 critically acclaimed thriller Johnny Gaddaar, which earned him a Filmfare Best Male Debut Award nomination. He subsequently earned critical praise for his performance in New York (2009) and Jail (2009); the former earned him a nomination for the Filmfare Best Supporting Actor Award. The actor was later noted for his performances in Lafangey Parindey (2010), 7 Khoon Maaf (2011) and David (2013). He debuted in Tamil cinema as the main antagonist in Kaththi (2014), for which he learned Tamil from scratch.
Contains	Annaleigh Ashford	Occupation	Actress	She is known for her work on Broadway as Glinda in Wicked, Margot in Legally Blonde, as well as for originating the role of Lauren in Kinky Boots, a performance for which she received a 2013 Tony nomination. Ashford won the 2015 Tony Award for Best Featured Actress in a Play for her performance as Essie Carmichael in the revival of You Can't Take It with You.
Equal	Darien Sills-Evans	Occupation	Actor	Darien Sean Evans, better known by his stage name, Darien Sills-Evans, (October 11, 1974) is an American actor, writer, comedian, and director.
Equal	Edward Daniels	Occupation	Geologist	Edward Dwight Daniels (1828–1916) was a geologist, abolitionist, and Civil War soldier. Born in Boston, Massachusetts, he moved to Wisconsin at age 21 to pursue a career as a geologist and academic. He became the first state geologist of Wisconsin in 1853. Daniels taught at Ripon College and Carroll College.
Equal	Fernando Díaz Domínguez	Occupation	Artist	Fernando Luis Díaz Domínguez (June 1932 in Havana, Cuba - 1983 in Miami, Florida) was a Cuban-American artist.
Equal	Anona Winn	Occupation	Actress	Anona Winn MBE (born Anona Edna Wilkins, 5 January 1904 – 2 February 1994) was an Australian-born actress, broadcaster and singer, who spent most of her career in the UK.
Equal	Daan Schuurmans	Occupation	Actor	Daniël Adrianus Augustinus "Daan" Schuurmans (born 24 January 1972) is a Dutch actor.He is married to Dutch actress Bracha van Doesburgh and they have a daughter named Sophia and twins sons named Kees and Boris.
Equal	Ali Khan Vali	Occupation	Photographer	Ali Khan Vali (Persian: علی خان والی‎‎, 1262 - 1318 Hijri) was an Iranian photographer and political figure of the era of Naser al-Din Shah and Mozaffar ad-Din Shah Qajar.
Equal	Edward George Clarke	Occupation	Barrister	Sir Edward George Clarke QC (15 February 1841 – 26 April 1931) was a British barrister and politician, considered one of the leading advocates of the late Victorian era and serving as Solicitor-General in the Conservative government of 1886–1892. His legal career included representing Oscar Wilde in his disastrous prosecution of the Marquess of Queensberry for libel, and representing the plaintiff in the "baccarat case", during which Sir Edward cross-examined the Prince of Wales.
Equal	Albert Valentine (actor)	Occupation	Actor	Albert Valentine is a British actor, son of Alison Bettles. He made his first appearance in the 2005 Doctor Who episodes "The Empty Child" and "The Doctor Dances" as Jamie.
Equal	Amparo Soler Leal	Occupation	Actress	Amparo Soler Leal (23 August 1933 – 25 October 2013) was a Spanish film actress.
Equal	Georgios Sisinis	Occupation	Politician	Georgios Sisinis (Greek: Γεώργιος Σισίνης, 1769–1831) was a Greek politician and a Greek revolutionary leader.
Equal	Peter Benson (actor)	Occupation	Actor	Peter Benson (born 13 June 1943) is an English actor probably best known as Bernie Scripps in the popular ITV1 TV-series Heartbeat, a drama about the police in the fictional "Aidensfield" in the 1960s. He has also had a number of other film and television roles, often playing weak or vacillating characters.
Equal	Sig Herzig	Occupation	Screenwriter	Sig Herzig (July 25, 1897 – March 12, 1985) was an American screenwriter and playwright.
Equal	James Caan (entrepreneur)	Occupation	Entrepreneur	James Caan CBE (born Nazim Khan, 28 December 1960) is a British-Pakistani entrepreneur and television personality.
Equal	Juliette Béliveau	Occupation	Actress	Juliette Béliveau (October 28, 1889 – August 26, 1975) was a French Canadian actress and singer, who starred in various radio and television comedies and dramas, as well as in theatre productions. She was also the heroine of a weekly comic strip published by Radiomonde from 1950 through 1954.
Equal	Kelly Wenham	Occupation	Actress	Kelly Wenham (born 28 November 1983, Stockport, England) is an English actress, director, screenwriter and comedian. Her early career was spent in modelling, before answering a casting call for a bit part in Always and Everyone. Following this she entered drama school, but quit three months later after being cast in a regular role in Where the Heart Is, as Jess Buckley, a role she kept for three years. After leaving Where the Heart Is, she appeared in Coronation Street as barmaid Danielle Spencer. In 2004 she was cast in a leading role as Julie Priestly in Steel River Blues, though the programme lasted only one series. Wenham has also made one-off appearances in Life on Mars, Holby City, Wild At Heart, Heartbeat and Dead Set. Kelly provided the voice for Syrenne in the 2012 British and American releases of The Last Story on the Wii. She also appeared in the fifth series of the BBC fantasy series Merlin as Queen Mab. She starred in the 2013 film Dracula: The Dark Prince as Dracula's love interest, Alina.
Equal	Rahat Kazmi	Occupation	Actor	Rahat Kazmi (born 1946) is a Pakistani actor, anchor and speaker and an academician.
Contains	Adnan Virk	Occupation	Sports	Adnan Virk (born July 29, 1978 in Toronto, Ontario) is a Canadian sports anchor, currently working for ESPN. He is the fifth Canadian and first Muslim Sports anchor to be hired by ESPN.
Equal	Benjamin (Fedchenkov)	Occupation	Bishop	Metropolitan Benjamin or Veniamin (Russian: Митрополит Вениамин, born Iván Afanásevich Fédchenkov, Иван Афанасьевич Федченков; 14 September 1880 – 4 October 1961) was a Bishop of the Russian Church, Orthodox missionary and writer.
Contains	Gabriel-Marie Legouvé	Occupation	Legouvé	Legouvé was the father of Ernest Legouvé (1807–1903), later a member of the Académie française, and son of Jean-Baptiste Legouvé (1729–1783) who wrote the pastoral La Mort d'Abel (1793) and a tragedy Epicharis et Nerón.
Equal	Neda Arnerić	Occupation	Actress	Neda Arnerić (Serbian Cyrillic: Неда Арнерић) (born 15 July 1953) is a Serbian actress. In 1980, she graduated from the University of Belgrade Faculty of Philosophy with a degree in Art History.
Equal	Philippe Chevallier (actor)	Occupation	Comedian	Philippe Chevallier  (born 11 January 1956 in Redon, Ille-et-Vilaine) is a French comedian and actor best known for his collaboration with Régis Laspalès.
Contains	Bryan Sharratt	Occupation	United	Bryan Edwards Sharratt (October 13, 1947 - August 16, 2007) was a United States Navy and Air Force officer, a lawyer, a Certified Public Accountant, a real estate broker, and a Democratic politician from Wyoming. After losing his Wyoming's at-large seat in the United States House of Representatives to Richard B. "Dick" Cheney in 1988, Sharratt campaigned for Bill Clinton for the presidency of the United States in 1992 and for John Kerry in 2004.
Equal	Guy Oliver Nickalls	Occupation	Rower	Guy Oliver Nickalls (4 April 1899 – 26 April 1974), also known as Gully Nickalls, was a British rower who competed in the 1920 Summer Olympics and in the 1928 Summer Olympics.
Equal	Michael Tigar	Occupation	Attorney	Michael Edward Tigar (born January 18, 1941; Glendale, California) is an American criminal defense attorney known for representing controversial clients. He is also an emeritus (retired) member of the Duke Law School and American University, Washington College of Law faculties.
Equal	Rajan Sippy	Occupation	Actor	Rajan Sippy (Hindi: राजन सिप्पी) was a Bollywood actor who acted in several films in the 1980s and also produced the film Shehzaade (1989). He is currently a businessman in Dubai and runs the restaurant "The Moghul Room".
Equal	Satsuki Katayama	Occupation	Politician	Satsuki Katayama (片山 さつき Katayama Satsuki, born May 9, 1959) is a Japanese politician serving her first term in Japan's House of Councillors, having been elected in July 2010 as a candidate for the Liberal Democratic Party (LDP). She previously represent the Shizuoka 7th district in the House of Representatives for one term from 2005 until 2009.
